label	kind	fingerprint
allowed	primary	FCEF822AE826B99B86F4E794B0D8B85F1D389753
allowed	subkey	3BC746B31B2DA45D168BF4113000E0CC75737749
alternate	primary	7A30834282B1C121B002D6CA0EF3C4D662C7539E
alternate	subkey	9C70B3156F8EE026C4F7546016898981DBBDB6B5
expired-primary	primary	C4CE4919F58B609239BD0C04237D8EE721AF7CFF
expired-primary	subkey	34721A92ECFC76292B6E9DA324CA878236CB7432
expired-subkey	primary	D39016233DD373E4FFAD3FBC9E95875B4C8D031F
expired-subkey	subkey	2C6380ACEF9F8FF512F7FBAE9415D6B78E59F465
revoked-primary	primary	B013ABE31DE1345DA05BA7179ED38FDC5DD8FFB6
revoked-primary	subkey	751BD18B47D7D874909857E7DA54F5F5C8188CD0
revoked-subkey	primary	CAA58AD156900EBC64F036DB8FC018AE2BE472D0
revoked-subkey	subkey	C2356D68EB43E0D0BB87CF26037606DB1202C495
