label	kind	fingerprint
allowed	primary	86082C9746F83FC1E9CF7325D3FEFCAD8741750E
allowed	subkey	D13309B73276C97334DD9FEAF04E993101CFED3C
alternate	primary	9C16AAF0E3A224FB3A569B13CF9DB30677FB461E
alternate	subkey	16A8FC1F36B8BF4FF0656027D8247D2254CA66F9
expired-primary	primary	A25A32AD655A61FC53D93F1126A818A76E44B2AA
expired-primary	subkey	C649E839DF8C4807CEC55E8C47B77E730AE5B321
expired-subkey	primary	01800300E9640F59CFD825E12DC17F8136B29E18
expired-subkey	subkey	7C8855F0BD39542B113A3E57A7EF6F2E4308216C
revoked-primary	primary	5F8A94764AF63B6E6B052FF0316A2FBE174963AB
revoked-primary	subkey	722F0923E1EAB7DD4CC8725AFEEBC0BB43F9283F
revoked-subkey	primary	8521C3A794C6E47EC663061ECBAF00D409AADFED
revoked-subkey	subkey	CD61C4C8A498A18A2B8883E1C19949E5BFD39BDF
