label	kind	fingerprint
allowed	primary	3E6D214111D32BBD15DC2CB2C79E014B7A2AC067
allowed	subkey	1E5725360313143DAAFF82AA939C232364F374F0
alternate	primary	04232B504DD0B0538E5BFD915CC608C15E1483C6
alternate	subkey	A6171E5B598043AAD5AEEEC1A30609613D88095F
expired-primary	primary	A2BF9028CC49CB310F5018F85539ABC93C06A963
expired-primary	subkey	1D6663AD39E6B4F5CD3A0046729490402172CBAB
expired-subkey	primary	62C3E1DCDEB72F72A580E2F024A39FEAFC81649B
expired-subkey	subkey	187E5E5B7A1FE87D7662FD575A7D2E6082720793
revoked-primary	primary	B3B50B26C85515772AB6909E21B03A367261F7C1
revoked-primary	subkey	8E244AEC92AF80862ABACBAEF51E01C030B68A9B
revoked-subkey	primary	D7EE22655F85D776A27F63FBED4D0D962E22CEEE
revoked-subkey	subkey	259462812F56C6F3C0BEE16BDC0C5DC70B0D6ECA
