label	kind	fingerprint
allowed	primary	B8B96B48DFFCB2519212CF05805E2681F3C7AA6E
allowed	subkey	DA250B0D7298430204AD8976D371AA5833068345
alternate	primary	78E06C1700BC3ADFBE64B79369EA3CED269E69FA
alternate	subkey	F71AF2F7762A72FC7ABBD52E17A05ADD5692856F
expired-primary	primary	142DE5150311B3E513B643A1B028789E92653EB7
expired-primary	subkey	2DACFB3ED9FF1C41ECB6B6CD7B8EB46D3D493684
expired-subkey	primary	FC505DFE6D1E9D32E3942E2689B42B0D44841384
expired-subkey	subkey	02B89F36C8091A2728AC87D9E882D7FE85EC82D3
revoked-primary	primary	F3694165ABCCF6C9E3075B44EC8CBDCBAA745521
revoked-primary	subkey	EAD828AD55526DCF776B40AFC03957FCA9E51A20
revoked-subkey	primary	D545757D17C742374D2924D73B815D821B90C81E
revoked-subkey	subkey	E975C52C573BF1ED28F5E9B02D69FF3549F1B4EE
