label	kind	fingerprint
allowed	primary	EEFA8FDAE3361E39919934434AEDC2FDA0537518
allowed	subkey	A54E48D6D4536AC16AA39360765A5131D151850D
alternate	primary	D02A8C981C08B781FAE5797A1D7688884604F675
alternate	subkey	5691B6ED5D85CECD307F4857467643EE97008C04
expired-primary	primary	CF0C7890B9C087339A6D4580695E87A0AA15AABB
expired-primary	subkey	6E23D6279E1393F4AD0C43640B84C42BC240CE60
expired-subkey	primary	7AB5C7792CDEB5092619DFFAF6EBFE37199BBE02
expired-subkey	subkey	7D3EB68E4CE70238BBDE6FE4C67810E07B8EE59A
revoked-primary	primary	033CF9B13926089EFE7AEB6426E7AE578B3EE4C1
revoked-primary	subkey	72259B0F1983B188798004B5C2E05EC996A8E3AE
revoked-subkey	primary	E983B73FF22693EC7E0331CE925947EEE04BAC58
revoked-subkey	subkey	F1FA039ADC93A5E3D118C841FC069DE38648E76A
