label	kind	fingerprint
allowed	primary	85FEC2496C0D368E0AB046E0A78268A1365F3C44
allowed	subkey	B234F38D1558DF3949A2F7300A4055FE69E4A413
alternate	primary	45A719005E0C00447B1F32E4A00213A4DD2A707C
alternate	subkey	3BE04F78AB841B353C9FA757E8BC53B8C25CED1A
expired-primary	primary	78A87BC67812D22B0808E73689F84ED98228CB7F
expired-primary	subkey	881FBD61017A60CCC93418C8310420BB38A585A9
expired-subkey	primary	B3783233A6124616BEE99216B178FFB6ED2BC52B
expired-subkey	subkey	BBBA7A90867F673DBE67006FA83BB44C59DAA436
revoked-primary	primary	19321D4276CD64F4D66177AF38BB90E168661E11
revoked-primary	subkey	860288D270C8E5BA46554D9C0ADE4C52AB17A64B
revoked-subkey	primary	67C7B978D94E13764740A8E7C5C58A58767A0BF1
revoked-subkey	subkey	26DE5FA47B77186E48271DC8D8B44D151087E565
