label	kind	fingerprint
allowed	primary	3A0DB8F0F34C07D12CEB6AE8BFCBC3E262891967
allowed	subkey	59E5CCAF752298E179CDBDF6D37F912AB6550FA9
alternate	primary	5F29EE054AF6CA6D247D91E4DEFBFCE77056964F
alternate	subkey	63D5A06899D32390C88F9596B99105B7C0A14734
expired-primary	primary	214BE489F55CBA6A0C4B4FC9B7A1A6B9EF195143
expired-primary	subkey	4223744F856463FE1F2A4BCF7F10F3FD74071CD8
expired-subkey	primary	D162512C8C28A37FEC03C462680D0C4C3E6CCF5A
expired-subkey	subkey	6717EF08A0E9824045C810679D4ECB438E0F72CA
revoked-primary	primary	25D7950C2861E5E6470DCF2BFEB5DAC0BD29AE32
revoked-primary	subkey	BE8058C3E4849877E52F9DFB9415F88995F09A12
revoked-subkey	primary	076DF5333EDB4455472953FEE406216DCF23F259
revoked-subkey	subkey	78064044EF90E6B593B0EBC30588567B1E91F5A3
