label	kind	fingerprint
allowed	primary	2B017A94136265DB56C0CCD6DF21D1EED6503531
allowed	subkey	B8240C48DBD3C6032011486E54FA9912778E332D
alternate	primary	50A45279D4194C07D4DC77116CF3258DD47A84CD
alternate	subkey	A85F7FD8A31E93C334C6EA7E9A0CBD12D6A1DFA9
expired-primary	primary	332353659800D6288CA42C29AAB4374981554980
expired-primary	subkey	7F8436BA06BFA828C09B19DE99B4B26C4AD97826
expired-subkey	primary	6AFBC420F4145DA3E6E1B056FAA2BC306BBB3626
expired-subkey	subkey	557A6742B2B864844451AED25203F13D4AA65CF0
revoked-primary	primary	6216EA924F5E8DAD73014972227B29A999C184FC
revoked-primary	subkey	EBD773DC767B16B60FADC801348E0E429A54CA56
revoked-subkey	primary	68CCEF373F20100FD69BE737E52D42F01024B3AF
revoked-subkey	subkey	D4A4DADCCACE79271DC15A7376563F7CDD5DF511
