label	kind	fingerprint
allowed	primary	B9A0309B54DA7C9DB40DB62F2124B3050746BD99
allowed	subkey	71E503D1200A69E8AFEF7AE220CB5C5EE7605F7D
alternate	primary	A1D236EF3C4AE84442189A02CDE7723F613AF51A
alternate	subkey	B4989E5B696DAAB7499C41B1406A3D45C0861A11
expired-primary	primary	A57738F86856A0D2816863DF9B980324A07314AC
expired-primary	subkey	5C436DEB55021EDF34ECEEDD5F26ABBDDB8AF569
expired-subkey	primary	6BC2F790394C807F2B4A9678F9DED2D24CAB4A7D
expired-subkey	subkey	147522DBC6CA03D3C1AAC37B999DEFB01BFB4E47
revoked-primary	primary	8E207DBBFD21EC022A6C239FF128B1718D05D85B
revoked-primary	subkey	321BFF1E8A4A46CBE808223CA81B2108FDCC8A8F
revoked-subkey	primary	FE7749D4A0237B905D2EC62053E5A1BF1001D096
revoked-subkey	subkey	84B8B80713CF75781188D98B5312A29936CE311F
